ID,prediction
A-1002576,2
A-1006568,2
A-1009958,3
A-1010670,2
A-1011694,3
A-1016859,3
A-1020297,3
A-1021743,2
A-102293,2
A-1027803,3
A-1027917,3
A-1035680,2
A-1037705,3
A-1038098,2
A-1041924,2
A-1044300,2
A-1045540,3
A-1047048,2
A-1050511,2
A-1050630,2
A-1050978,2
A-1054480,3
A-1055700,2
A-1057167,3
A-1059584,2
A-1060080,3
A-106084,3
A-1062005,3
A-1062617,3
A-1063429,3
A-1068859,2
A-1069363,3
A-1075633,4
A-1081488,3
A-1081588,2
A-108312,4
A-1084598,2
A-1085040,2
A-1085061,3
A-1093203,2
A-1097533,2
A-109877,2
A-110078,4
A-1104645,3
A-1105264,2
A-1105733,2
A-111338,3
A-1114009,4
A-1121703,2
A-1123455,3
A-1124673,2
A-1126315,2
A-1130695,2
A-1135102,2
A-1137673,2
A-1144584,3
A-1146881,2
A-1147260,2
A-1149788,2
A-115,2
A-1153398,2
A-1154155,2
A-1163807,2
A-1164158,2
A-1167250,2
A-116727,2
A-1168401,2
A-1169706,2
A-1169908,3
A-1176252,2
A-1180701,3
A-1188339,2
A-1188854,3
A-1189992,3
A-1194708,2
A-119668,2
A-1198133,2
A-120071,3
A-1202363,3
A-1202527,2
A-1206055,2
A-1207379,3
A-1208123,3
A-1208770,2
A-1209015,3
A-1211963,2
A-1216323,2
A-1217568,2
A-121779,3
A-1222636,2
A-1229207,3
A-1231998,2
A-1233651,4
A-1235092,3
A-1237132,3
A-1240614,2
A-1243253,2
A-1244615,2
A-124529,3
A-1250600,3
A-125317,2
A-1254061,2
A-1254536,2
A-1256743,2
A-1259152,2
A-126027,2
A-1262110,2
A-1263191,2
A-1264405,4
A-1266467,2
A-126671,3
A-1268651,2
A-1280011,2
A-1281241,2
A-1283063,2
A-128572,2
A-1286814,2
A-128870,2
A-1291643,3
A-1292590,2
A-1313225,2
A-131425,2
A-1324674,2
A-1325042,2
A-1334614,2
A-1335391,2
A-1335776,2
A-1338750,3
A-1342621,3
A-1347023,2
A-1351114,3
A-1351706,2
A-1353558,4
A-1353878,2
A-135822,2
A-136333,2
A-1364030,3
A-1364115,2
A-1366889,4
A-1376405,2
A-1379495,2
A-1380095,3
A-138115,2
A-1383909,2
A-1387995,2
A-1391025,3
A-1394182,2
A-1396617,2
A-1408243,2
A-1412258,3
A-1412402,3
A-1420586,2
A-1421638,2
A-1431339,4
A-1436172,3
A-1442719,2
A-1445549,2
A-1448730,2
A-1452300,3
A-1467192,3
A-1467533,3
A-1467599,2
A-1472951,2
A-1475181,3
A-1475670,2
A-1478021,3
A-1481390,2
A-1481766,2
A-1483486,2
A-1485622,2
A-1489455,2
A-1489890,3
A-1491245,3
A-1496157,2
A-1499930,2
A-1501038,2
A-1503136,2
A-1504451,2
A-1504602,2
A-1504633,2
A-150933,3
A-1509543,3
A-151385,2
A-1514744,3
A-1527066,2
A-1531031,3
A-1533679,2
A-154927,3
A-1551602,2
A-1552158,3
A-1555653,2
A-1566253,2
A-1583049,3
A-1586702,2
A-1588685,2
A-1591,3
A-1591660,4
A-1592284,2
A-1592301,3
A-1593052,2
A-1594607,3
A-159485,2
A-1595302,2
A-1596342,3
A-1600441,3
A-1601482,3
A-1604615,3
A-1605822,2
A-1606852,2
A-1609163,2
A-1609758,2
A-1614818,3
A-1615486,3
A-1621636,2
A-162241,2
A-1622979,3
A-1626679,3
A-1636990,2
A-1641748,3
A-1643401,2
A-1643871,2
A-1644842,2
A-164595,2
A-1646885,2
A-164904,4
A-1650722,2
A-165682,2
A-1660367,2
A-1662101,2
A-1668352,2
A-1673723,2
A-1676075,4
A-1679377,2
A-1682678,3
A-1684440,3
A-1686005,2
A-1689404,2
A-1694870,3
A-1696106,2
A-169845,2
A-1702543,2
A-1711317,2
A-1712765,2
A-1716045,2
A-1716219,3
A-1718068,2
A-1718234,2
A-172639,2
A-1729118,2
A-1732937,3
A-1736730,4
A-1737487,2
A-1740768,4
A-1743646,3
A-1747185,2
A-1747703,2
A-1749355,2
A-1754983,2
A-1755254,3
A-1757810,2
A-1758359,3
A-1758864,3
A-1766617,3
A-176667,2
A-1767978,2
A-1768298,2
A-1772337,2
A-1772665,2
A-1773108,4
A-1773448,3
A-1773677,2
A-1774090,2
A-1777214,3
A-1779070,3
A-1780997,2
A-1781527,2
A-1785344,2
A-1785798,3
A-1787883,3
A-1789613,2
A-1792008,2
A-179344,2
A-1794688,2
A-1795218,2
A-1796463,2
A-1797401,3
A-1798226,3
A-1799846,3
A-1801851,3
A-180247,4
A-180289,3
A-1802925,3
A-1803548,2
A-1804075,2
A-1805792,2
A-1808247,2
A-1813090,2
A-1814860,3
A-1815237,2
A-1817050,2
A-1829094,3
A-1832910,2
A-1833393,4
A-1838374,2
A-1839270,2
A-1843237,2
A-1843321,2
A-1846755,4
A-1847223,3
A-1849557,2
A-1851552,2
A-1854526,2
A-1857121,2
A-1858789,3
A-1859387,2
A-1868613,2
A-1879490,2
A-1879802,3
A-188185,2
A-1882366,2
A-1887665,2
A-1887742,3
A-1889407,2
A-189187,2
A-1895443,3
A-189555,2
A-1900733,2
A-1901229,3
A-1901785,3
A-190361,2
A-1904508,3
A-1905472,2
A-190648,2
A-1907721,2
A-1911075,3
A-1912192,3
A-191565,3
A-1923163,3
A-1923167,2
A-1923431,2
A-1926139,2
A-1928,3
A-1936415,3
A-1940750,2
A-194642,2
A-1948597,2
A-1958784,2
A-1958955,3
A-1959879,3
A-1960943,3
A-1961110,3
A-19613,3
A-1961677,4
A-1963193,2
A-1963344,2
A-1968334,2
A-1971588,4
A-1971980,2
A-1977962,2
A-1978551,3
A-1983561,3
A-1986086,3
A-198624,3
A-1990756,3
A-1994232,2
A-2000104,3
A-2001369,3
A-2001554,3
A-2004951,2
A-201941,2
A-2019839,2
A-202140,2
A-2022155,2
A-2024017,3
A-2024913,2
A-2025513,2
A-20286,2
A-2028985,2
A-2032815,3
A-2033222,2
A-2037148,2
A-2042994,2
A-2050081,2
A-2054074,2
A-2056389,3
A-2058741,3
A-2059477,2
A-206012,3
A-206063,2
A-2062516,3
A-2063069,2
A-2064997,3
A-2065660,3
A-2066432,4
A-2068601,3
A-2070358,2
A-2070614,2
A-2075384,2
A-2077998,3
A-207800,3
A-2078707,3
A-2080051,3
A-208913,2
A-2089702,2
A-2089727,2
A-2094264,2
A-2096144,3
A-210410,2
A-2104557,2
A-2104770,2
A-211245,3
A-2116128,4
A-2119660,2
A-2120069,2
A-2130637,3
A-2134173,2
A-2135401,2
A-2135627,2
A-2136194,3
A-2147950,2
A-214890,2
A-2150203,2
A-2151624,2
A-2155387,2
A-2161556,2
A-2161762,3
A-2164980,2
A-2170691,2
A-2171166,2
A-2173036,2
A-217385,2
A-2173890,3
A-2174585,3
A-2181222,3
A-2185189,2
A-2185888,3
A-2195885,2
A-2196815,2
A-2197448,2
A-2202735,3
A-2203137,2
A-2203376,3
A-2203563,2
A-220464,3
A-2205859,2
A-2206000,3
A-2207384,2
A-2208786,3
A-221239,2
A-221305,3
A-2224465,2
A-222675,2
A-2226767,2
A-2228096,3
A-2231067,2
A-2231282,2
A-2234540,3
A-2241674,2
A-2243420,3
A-2243587,2
A-2248529,3
A-2249522,2
A-2249554,3
A-2253048,4
A-2254379,3
A-2256650,2
A-225813,2
A-2259299,2
A-2263238,2
A-2263497,2
A-2266170,3
A-2267133,2
A-2267552,3
A-2282889,3
A-2286929,2
A-2287419,4
A-2293182,3
A-2296399,2
A-2301292,3
A-2306006,2
A-2306440,2
A-2308498,2
A-2311270,2
A-2312004,2
A-2317160,2
A-2321092,4
A-2322765,3
A-2325085,3
A-2326717,2
A-2327480,2
A-2337592,3
A-234214,2
A-2343724,2
A-2351553,2
A-2356337,3
A-236182,3
A-2362347,2
A-2370412,2
A-2370795,2
A-2376914,2
A-2382248,2
A-2385223,2
A-2390334,3
A-2392996,2
A-2393824,2
A-2394810,3
A-2395838,2
A-2399387,3
A-2404602,3
A-2407265,4
A-240932,2
A-2413150,2
A-2414804,3
A-2416136,2
A-2418392,2
A-2419298,3
A-2425267,2
A-2427090,3
A-2432336,2
A-2433705,2
A-2436132,2
A-243708,3
A-244002,2
A-2442512,2
A-2443657,2
A-2444423,3
A-2444493,2
A-2446035,2
A-2446714,2
A-2452967,2
A-2454748,2
A-2457512,2
A-2461079,2
A-2461358,4
A-2463761,2
A-2465633,2
A-24692,2
A-2473076,2
A-2481914,2
A-2491149,2
A-2491316,2
A-2492431,2
A-2496750,2
A-2498384,2
A-2502276,2
A-2507368,2
A-251307,3
A-2513371,2
A-2514302,2
A-2514309,2
A-2516484,2
A-2517854,3
A-2520292,2
A-2524502,3
A-2527468,3
A-2528332,2
A-2528788,3
A-2528805,2
A-2530375,2
A-2537093,2
A-253827,3
A-2538428,2
A-2544969,2
A-2545986,3
A-2546756,2
A-2548075,2
A-2549991,3
A-2551240,2
A-2552499,2
A-2554457,2
A-255792,2
A-2569704,3
